state,begin,end,type
Alabama,4/4/2020,4/30/2020,Full
Alaska,3/28/2020,4/24/2020,Full
Arizona,3/31/2020,5/15/2020,Full
Arkansas,,,None
California,3/19/2020,5/12/2020,Partial
Colorado,3/26/2020,4/26/2020,Full
Connecticut,3/23/2020,5/20/2020,Full
Delaware,3/24/2020,6/1/2020,Full
Florida,4/1/2020,5/4/2020,Full
Georgia,4/3/2020,4/30/2020,Full
Hawaii,3/22/2020,5/7/2020,Full
Idaho,3/25/2020,5/1/2020,Full
Illinois,3/21/2020,5/1/2020,Partial
Indiana,3/23/2020,5/4/2020,Full
Iowa,,,None
Kansas,3/30/2020,5/4/2020,Full
Kentucky,3/26/2020,5/20/2020,Full
Louisiana,3/23/2020,5/15/2020,Full
Maine,4/2/2020,4/30/2020,Full
Maryland,3/30/2020,6/1/2020,Full
Massachusetts,3/23/2020,5/18/2020,Full
Michigan,3/24/2020,6/1/2020,Full
Minnesota,3/25/2020,5/18/2020,Full
Mississippi,4/3/2020,5/7/2020,Full
Missouri,4/6/2020,5/4/2020,Full
Montana,3/28/2020,4/27/2020,Full
Nebraska,,,None
Nevada,4/1/2020,5/9/2020,Full
New Hampshire,3/27/2020,5/11/2020,Full
New Jersey,3/21/2020,6/20/2020,Full
New Mexico,3/24/2020,6/1/2020,Full
New York,3/22/2020,5/15/2020,Partial
North Carolina,3/30/2020,5/8/2020,Full
North Dakota,,,None
Ohio,3/23/2020,5/29/2020,Full
Oklahoma,3/28/2020,4/24/2020,Full
Oregon,3/23/2020,5/15/2020,Partial
Pennsylvania,4/1/2020,5/29/2020,Full
Rhode Island,3/28/2020,5/8/2020,Full
South Carolina,4/7/2020,5/4/2020,Full
South Dakota,,,None
Tennessee,3/31/2020,4/27/2020,Full
Texas,4/2/2020,4/30/2020,Full
Utah,3/30/2020,5/1/2020,Full
Vermont,3/25/2020,5/15/2020,Full
Virginia,3/25/2020,5/15/2020,Partial
Washington,3/23/2020,5/11/2020,Partial
West Virginia,3/24/2020,5/4/2020,Full
Wisconsin,3/25/2020,5/13/2020,Full
Wyoming,3/28/2020,5/1/2020,Partial
District of Columbia,4/24/2020,5/15/2020,Full
